Document,Questions,Clasificacion
20200000000029.pdf,¿Cuál es el monto de la penalidad que se aplicará por el retraso en la ejecución de la orden de servicio N°S000047 para el vehículo de placa EGU 990?,General
20200000000031.pdf,"¿Cuál es el número de directiva mencionada en el documento para la Formulación, Seguimiento y Evaluación del Plan Operativo Institucional del INAIGEM?",General
20200000000031.pdf,"¿Quién es el jefe de oficina de la Oficina de Planeamiento, Presupuesto y Modernización - OPPM según el documento?",General
20200000000032.pdf,¿Cuál es el importe total en soles de la asignación de fondos por encargo según el detalle mostrado en la tabla?,General
20200000000032.pdf,¿Quién es el Director de la Dirección de Información y Gestión del Conocimiento - DIGC según el documento?,General
202000000000321.pdf,¿Cuál es el lugar de la actividad mencionado en el documento?,General
202000000000321.pdf,¿Cuántas unidades de servicio de almuerzo y 3 variaciones tiene el encargo según el detalle del presupuesto?,General
202000000000322.pdf,¿Cuál es el costo total del servicio de porteador según el presupuesto para la Laguna Arhuaycocha?,General
202000000000322.pdf,¿Cuántos días de servicio de hospedaje en Caraz se presupuestaron para la actividad y cuál fue su costo unitario?,General
202000000000322.pdf,¿En qué laguna se busca identificar el nivel de peligro según el requerimiento de fondos mencionado en el documento?,General
20200000000033.pdf,¿Cuáles son los tres proyectos mencionados en los informes de referencia del documento dirigido a Víctor Angel Saavedra Espinoza?,General
20200000000033.pdf,¿A partir de qué fecha específica el Banco de la Nación dejó de emitir cheques según el R.D N° 002-2020-EF/52.03?,General
202000000000331.pdf,¿Cuál es el número del Decreto Supremo que aprueba la Política Nacional de Inclusión Financiera mencionado en la referencia del informe?,General
202000000000331.pdf,¿En qué fecha específica del año 2020 ya no se emitían cheques según el R.D N° 002-2020-EF/52.03?,General
202000000000331.pdf,¿Cuál es el número de DNI y cargo de Turpo Cayo Efrain Yury según la tabla de colaboradores?,General
202000000000331.pdf,¿Qué cargo ocupa Torres Amado Lucas Noe y cuál es su CTA según la tabla mostrada?,General
202000000000332.pdf,¿Cuál es el número de la Resolución Directoral mencionada en la referencia del informe?,General
202000000000332.pdf,¿En qué fecha específica se dejaron de emitir cheques según la R.D N° 002-2020-EF/52.03?,General
202000000000332.pdf,¿Cuál es el nombre del proyecto del cual Pedro Miguel Tapia Ormeño es investigador principal?,General
202000000000332.pdf,¿Cuántos folios tiene el documento según lo indicado en la imagen?,General
202000000000333.pdf,¿Cuál es el número de DNI del investigador principal Edwin Anibal Loarte Cadenas?,General
202000000000333.pdf,¿Qué número de cuenta CCI del Banco de la Nación tiene Katy Damacia Medina Marcos?,General
202000000000333.pdf,¿Qué decreto supremo aprobó la Política Nacional de Inclusión Financiera y modificó el Decreto Supremo N° 029-2014-EF?,General
202000000000334.pdf,¿Cuál es el número de Decreto Supremo que aprueba la Política Nacional de Inclusión Financiera mencionado en el documento?,General
202000000000334.pdf,¿Cuál es el número de cuenta bancaria asignada a Katy Damacia Medina Marcos según la tabla del documento?,General
202000000000334.pdf,¿Cuál es el número de DNI del tesista de pregrado Ericsson Lorgio López Vega?,General
202000000000334.pdf,¿Qué cargo ocupa Sofía Cristina Ana Rodriguez Venturo y cuál es su número de DNI?,General
20200000000034.pdf,¿Quién es el Jefe de la Oficina de Tecnologías de la Información - OTI según el documento?,General
20200000000034.pdf,¿Cuál es el número de referencia de la carta mencionada en el documento?,General
202000000000341.pdf,¿Cuál es el monto contratado para el servicio de internet de línea dedicada mediante fibra óptica según el formato de conformidad?,General
202000000000341.pdf,¿En qué fecha fue emitido el documento de conformidad del servicio prestado por DKR VISION S.R.L?,General
202000000000342.pdf,¿Cuál es el monto contratado para el servicio de internet de línea dedicada según el formato de conformidad del servicio con fecha 30/07/2020?,General
202000000000342.pdf,¿Qué empresa fue la contratista para brindar el servicio de internet de línea dedicada según el RUC 20423066853?,General
20200000000035.pdf,¿Cuál es el monto de rebaja solicitado en la Certificación de Crédito Presupuestal N°0260?,General
20200000000035.pdf,¿Qué número de orden de servicio fue anulada según el documento?,General
202000000000351.pdf,"¿Cuál es el número de documento que aparece en el campo ""N° DE DOCUMENTO INF"" en la certificación presupuestaria?",General
20200000000036.pdf,¿Cuál es el número de proveído del documento emitido por la OPPM-GG-INAIGEM en 2020?,General
20200000000036.pdf,¿Quién figura como Jefe de Oficina en el documento de evaluación POI 2020 del primer semestre?,General
202000000000401.pdf,¿Cuál es el número de proveído del documento emitido por OPPM-GG-INAIGEM en 2020?,General
202000000000401.pdf,¿Quién es el jefe de oficina que firma el documento con fecha 30/07/2020?,General
20200000000042.pdf,¿Cuál es el nombre del Sub Director de la Sub Dirección de Investigación e Innovación para la Sostenibilidad de Ecosistemas de Montaña - SDISEM?,General
20200000000042.pdf,¿Qué clasificador presupuestal corresponde a la META PPTO 002 en la tabla de Acción Presupuestal?,General
20200000000042.pdf,¿Cuál es el código de expediente que aparece en el documento?,General
20200000000042.pdf,¿Quién es el Sub Director de la Sub Dirección de Investigación e Innovación para la Sostenibilidad de Ecosistemas de Montaña?,General
202000000000421.pdf,¿Cuál es el plazo máximo de responsabilidad del proveedor por la calidad y vicios ocultos de los bienes entregados según el documento?,General
202000000000421.pdf,¿Qué valor de F se aplica para plazos mayores o iguales a sesenta días para bienes y servicios en general según el documento?,General
202000000000421.pdf,¿Cuáles son las unidades hidrográficas donde se realizó el monitoreo de calidad de agua desde el año 2016 según la Dirección de Investigación en Ecosistemas de Montaña?,General
202000000000421.pdf,¿Qué tipo de materiales específicos se requieren para evitar la contaminación cruzada durante la toma de muestras en campo según los objetivos específicos del documento?,General
20200000000045.pdf,¿Quién es el Jefe de Oficina de la Oficina de Tecnologías de la Información - OTI según el documento?,General
20200000000052.pdf,¿Cuál es el número de Guía de Remisión mencionado en el documento?,General
20200000000052.pdf,¿Cuál es la dirección que aparece en el pie de página del documento?,General
20200000000052.pdf,¿Cuál es el número de placa del vehículo transportista según la guía de remisión electrónica T001-0000145?,General
20200000000052.pdf,¿Cuál es la cantidad de tóner HP CF280X (80X) L.MARTIN NEGRO indicada en el documento?,General
20200000000053.pdf,¿Cuál es el monto en soles indicado para la contratación de servicios de laboratorio para el análisis de calidad de agua de 38 muestras?,General
202000000000531.pdf,¿Cuál es el número de certificación presupuestaria que aparece en el documento del 30/07/2020?,General
2020000000005311.pdf,¿Cuál es el costo por alquiler mensual de cooler después de los 60 días calendario según el documento?,General
2020000000005311.pdf,¿Cuál es el porcentaje mínimo de materiales que al ser retornados generará un cobro de S/.100.00 por concepto de preparación y embalaje?,General
2020000000005311.pdf,¿En qué dirección de Lima se encuentran las instalaciones de SGS donde se deben enviar las muestras?,General
2020000000005311.pdf,¿Cuántos días hábiles toma la entrega de informes de ensayo para una muestra de matriz Agua según la tabla de tiempos de entrega?,General
2020000000005312.pdf,¿Cuál es el tiempo de entrega en días hábiles para los informes de ensayo de matriz agua según la tabla mostrada?,General
2020000000005312.pdf,¿En qué dirección de Lima se encuentran las instalaciones de SGS donde se deben enviar las muestras?,General
2020000000005312.pdf,¿Cuál es el costo por alquiler mensual de cooler después de los 60 días calendario según el documento?,General
2020000000005312.pdf,¿Qué porcentaje mínimo de materiales enviados con muestra debe ser retornado para evitar cargos adicionales según las condiciones de materiales de muestreo?,General
2020000000005313.pdf,¿Cuál es el asunto principal del correo electrónico enviado por Yeidy Montero Chávez?,General
2020000000005313.pdf,¿En qué fecha y hora específica fue enviado el correo electrónico según se muestra en la imagen?,General
202000000000532.pdf,¿Quién es el especialista responsable de logística que firma el documento dirigido al jefe de la Oficina de Administración?,General
202000000000533.pdf,¿Cuántas muestras de agua se solicitan analizar para determinar metales totales por ICP según el informe N° 054-2020-INAIGEM.PE-DIEM?,General
202000000000533.pdf,¿Qué código de especifica (2.3.2.7.11.99) corresponde a los servicios diversos según el detalle de afectación presupuestal mostrado en el informe?,General
202000000000534.pdf,¿Cuántas muestras de agua se solicitan analizar para determinar metales totales por ICP según el informe N° 054-2020-INAIGEM/PE-DIEM?,General
202000000000534.pdf,¿Qué código de especifica (2.3.2.7.11.99) corresponde a los servicios diversos solicitados en el informe según la tabla de afectación presupuestal?,General
202000000000535.pdf,¿Cuántas muestras de agua se requieren analizar para metales totales por ICP según el informe N° 010-2020-INAIGEM/SDISEM/YMNCH?,General
202000000000535.pdf,¿Qué unidades hidrográficas se mencionan en el documento como zonas de estudio que presentan indicios de problemas con drenaje ácido de roca?,General
202000000000536.pdf,¿Cuál es el valor del Potassium Total (mg/L) reportado en el análisis?,General
202000000000536.pdf,¿Cuál es la concentración de Silver Total (mg/L) según la cotización de análisis de SGS?,General
202000000000536.pdf,¿Cuál es el precio unitario del envío de materiales a una agencia de transportes en la ciudad de Huaraz para el posterior recojo por parte del cliente?,General
202000000000536.pdf,¿Cuál es el método de análisis utilizado para el análisis de agua superficial según la cotización?,General
202000000000537.pdf,¿Cuál es el plazo de recepción de cotizaciones establecido en la solicitud de servicio de laboratorio del INAIGEM?,General
202000000000537.pdf,¿Qué tipo de análisis específico se solicita realizar a las 38 muestras según el servicio requerido por INAIGEM?,General
202000000000538.pdf,¿Cuál es el tamaño en kilobytes del archivo PDF mostrado en la esquina superior izquierda de la imagen?,General
202000000000538.pdf,¿De qué instituto proviene el correo mencionado en el encabezado de la imagen?,General
202000000000538.pdf,¿Cuál es el plazo de recepción de cotizaciones según el documento?,General
202000000000538.pdf,¿Qué número de RUC corresponde al INAIGEM según la información proporcionada?,General
202000000000539.pdf,¿Cuál es el RUC de SGS del Peru S.A.C. según la declaración jurada del proveedor?,General
202000000000539.pdf,¿En qué fecha fue firmada la declaración jurada del proveedor en el Callao?,General
20200000000058.pdf,¿Cuál es el número de RUC que aparece en la guía de remisión-remitente?,General
20200000000058.pdf,¿Qué tipo de solución se menciona en el ítem 01 con código HI 9042S?,General
20200000000058.pdf,¿Cuál es la dirección exacta de BD INSTRUMENTS S.A.C según la carta de garantía comercial?,General
20200000000058.pdf,¿Por cuántos meses se otorga la garantía comercial según el documento fechado el 23 de julio del 2020?,General
20200000000060.pdf,¿Cuál fue el nuevo monto del contrato según el INFORME N° 021-2020-INAIGEM/GG-OPPM-LAQM del Especialista en Inversiones para el proyecto de monitoreo de peligros de origen glaciar?,General
20200000000060.pdf,¿En qué fecha la consultora Tamara Cervantes Deanny Cintya Armanda recibió la ADENDA N°0001?,General
20200000000060.pdf,¿A qué correo electrónico se deben enviar los archivos del avance según la Orden de Servicio N°S000082?,General
20200000000060.pdf,¿Qué tipo de documento se debe solicitar a la consultora para el avance del servicio de consultoría sobre el sistema de monitoreo de peligros de origen glaciar en la sub cuenca glaciar de la cordillera de los Andes?,General
202000000000601.pdf,¿Cuál fue la fecha en que se realizó la visita física al Gobierno Regional de Ancash (GRA) para facilitar el expediente técnico del SAT Quilcay?,General
202000000000601.pdf,¿Quién realizó trabajos y coordinaciones para programar una reunión virtual con la empresa ORAZUL según se menciona en el cuarto punto del documento?,General
202000000000601.pdf,¿Qué sugiere el autor respecto a los Subsistemas Petite-Paillette y Quillow después de retirarlos del INAGEM?,General
202000000000601.pdf,¿Por qué razón el autor menciona que no tiene intención de accionar legalmente contra el INAGEM a pesar del tiempo invertido en el proyecto?,General
202000000000602.pdf,¿Cuál es el monto máximo estimado en soles para el presupuesto de la consultora Deanny Tamara Cervantes según el memorando?,General
202000000000602.pdf,¿En qué fecha fue emitido el memorando múltiple N° 003-2020-INAIGEM-PE-DIGC en la ciudad de Huaraz?,General
202000000000603.pdf,¿Cuál es el monto en soles mencionado en el documento respecto a la modificación de los Términos de Referencia (TdR)?,General
202000000000603.pdf,¿En qué fecha se emitió el Decreto Supremo N°094-2020-PCM que prorrogó la emergencia nacional según el documento?,General
202000000000603.pdf,¿Cuál es el nuevo presupuesto propuesto para el servicio N°0082 después de aplicar los descuentos en honorarios e impuestos?,General
202000000000603.pdf,¿Cuáles son las tres subcuencas glaciares priorizadas que quedaron después de la reducción del alcance inicial de cinco subcuencas?,General
202000000000604.pdf,¿Cuál fue el nuevo presupuesto propuesto para el proyecto de monitoreo de peligros de origen glaciar en las Subcuencas glaciares de la cordillera blanca según el memorando 239-2020-INAIGEM/PE-DIG?,General
202000000000604.pdf,¿Quién era el Director de Investigación en Glaciares del INAIGEM que firmó digitalmente este memorando con fecha 24 de julio del 2020?,General
202000000000605.pdf,¿Cuáles son las tres subcuencas priorizadas en el ámbito de estudio según el Informe N° 021-2020-INAIGEM/DIG-SDIRAG?,General
202000000000605.pdf,"¿En cuántos días se redujo el plazo de servicio, pasando de 118 a 90 días, según lo mencionado en el documento?",General
202000000000605.pdf,¿Cuántas subcuencas del Callejón de Huaylas comprendía inicialmente el ámbito de estudio según la Orden de Servicio N° S000082?,General
202000000000605.pdf,¿En qué fecha la jefatura de PPPM solicitó al especialista de inversiones preparar respuesta mediante correo electrónico?,General
202000000000606.pdf,¿Cuál es el código de idea del proyecto de mejoramiento y ampliación del sistema de monitoreo de peligros de origen glaciar en las sub cuencas glaciares?,General
202000000000606.pdf,¿Cuál es el monto actualizado del contrato según el memorándum N° 394-2020-INAIGEM/GG-OPPM?,General
202000000000611.pdf,¿Cuál es el monto contratado para el servicio de internet de línea dedicada según el formato de conformidad del servicio emitido el 30/07/2020?,General
202000000000611.pdf,¿Qué empresa contratista con RUC 20423066653 brindó el servicio de internet de línea dedicada mediante fibra óptica y seguridad gestionada?,General
20200000000066.pdf,¿Quién es el Jefe de la Oficina de Administración del INAIGEM según el documento fechado el 30 de julio de 2020?,General
20200000000066.pdf,¿Cuál es el número de folio y código OADM que aparece al final del documento?,General
20200000000068.pdf,¿Cuál es la recomendación específica que se hace respecto a los Subsistemas Petite-Paillette y Quillow después de retirarlos?,General
20200000000068.pdf,¿Por qué razón el autor menciona que no tiene intención de accionar legalmente contra el INAIGEM para recuperar el tiempo invertido en el proyecto?,General
20200000000068.pdf,¿Cuál fue la fecha en que se realizó la visita física al Gobierno Regional de Ancash (GRA) para facilitar el expediente técnico del SAT Quilcay?,General
20200000000068.pdf,¿Quién fue el jefe de la Oficina de Administración del INAIGEM al que se dirigió la carta N° 014-2020-DCATC?,General
202000000000691.pdf,¿Qué tipo de análisis de laboratorio se solicita para las muestras de NOSTOC SP (Cushuro) según el informe N° 060-2020-INAIGEM/PE-DIEM?,General
202000000000691.pdf,¿Cuál es el código de especifica presupuestal indicado en el detalle de afectación presupuestal del documento?,General
202000000000692.pdf,¿Cuál es el clasificador presupuestal indicado en la acción presupuestal para el servicio de análisis de metales?,General
202000000000693.pdf,¿Cuál es la profundidad de las pozas artificiales circulares construidas junto a la Laguna Patococha para el estudio de Nostoc sp.?,General
202000000000693.pdf,¿Quién fue el estudiante de la Universidad Nacional Santiago Antúnez de Mayolo que realizó la tesis relacionada con las colonias de Nostoc sp. en el año 2017?,General
202000000000693.pdf,¿Qué institución se encarga de la toma de muestras y envío de las mismas al laboratorio según el documento?,General
202000000000693.pdf,¿Cuál es el requisito específico de acreditación que debe cumplir la empresa proveedora según el punto 6.2 del documento?,General
202000000000694.pdf,¿Cuál es la fecha límite para la recepción de cotizaciones según el documento?,General
202000000000694.pdf,¿Qué documentos debe contener la cotización respecto a la Carta de Autorización y Declaración Jurada?,General
20200000000070.pdf,¿Quién es el Jefe de la Oficina de Administración del INAIGEM según el documento fechado el 30 de julio del 2020?,General
20200000000070.pdf,¿Cuál es el número de teléfono de la sede en Huaraz según la información de contacto que aparece al pie del documento?,General
202000000000711.pdf,¿Mediante qué ley se creó el Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña (INAIGEM)?,General
202000000000711.pdf,"¿Cuál es el número del comunicado que establece la prórroga de los plazos para la elaboración, registro, seguimiento y evaluación de los documentos señalados en la Guía para el Planeamiento Institucional?",General
202000000000711.pdf,¿Qué establece el numeral 7.2 de la Guía para el Planeamiento Institucional del CEPLAN respecto a la evaluación de implementación?,General
202000000000711.pdf,"¿Mediante qué comunicado del CEPLAN se prorrogan los plazos para la elaboración, registro, seguimiento y evaluación de los documentos señalados en la Guía para el Planeamiento Institucional?",General
20200000000072.pdf,¿Quién fue el Ex Especialista Responsable de logística que realizó la entrega de cargo según el correo de Rocío Vidal?,General
20200000000072.pdf,¿En qué fecha y hora específica envió Rocío Vidal el correo sobre la revisión del informe de entrega de cargo?,General
20200000000072.pdf,¿Quién fue el Especialista Responsable de Logística que presentó su entrega de cargo el 30.06.2020 según el documento?,General
20200000000072.pdf,¿Cuál es el nombre del Jefe de la Oficina de Administración que firma el documento fechado el 30 de julio del 2020 en Huaraz?,General
20200000000074.pdf,"¿Quién es el Especialista en Planeamiento que firma el documento dirigido a la Oficina de Planeamiento, Presupuesto y Modernización?",General
20200000000074.pdf,¿Cuál es el asunto principal del documento relacionado con la evaluación del POI 2020?,General
202000000000741.pdf,¿Mediante qué resolución se aprueba la Guía para el Planeamiento Institucional y se modifica mediante Resolución N° 00016-2019/CEPLAN/PCD?,General
