Document,Questions,Clasificacion
20200000000076.pdf,¿Cuál es el número de informe mencionado en la referencia del documento dirigido a Victor Angel Saavedra Espinoza?,Especifica
202000000000771.pdf,"¿Cuál es el monto total en soles especificado en la orden de servicio para los servicios de limpieza, resguardo y vigilancia?",Especifica
202000000000771.pdf,"¿Cuál es el monto total a pagar por los servicios de limpieza, resguardo y vigilancia según la orden de servicio N°S000103?",Especifica
202000000000773.pdf,¿Cuál es el número de Código de Cuenta Interbancario (CCI) mencionado en la carta de autorización?,Especifica
202000000000773.pdf,¿En qué fecha fue emitida la carta de autorización en Huaraz?,Especifica
202000000000775.pdf,¿Cuál es el monto total por honorarios indicado en el recibo electrónico E001-43 emitido el 31 de julio del 2020?,Especifica
202000000000776.pdf,¿Cuál es el número de informe que se presenta a Roque Vargas Huaman de la Oficina Desconcentrada Macro Región Centro?,Especifica
20200000000078.pdf,¿Cuál es el número de informe mencionado en la referencia del documento de Certificación Presupuestal?,Especifica
202000000000781.pdf,¿Cuál es el monto total en soles asignado para servicios diversos según el código 23.2.7.11.99 en esta certificación presupuestaria?,Especifica
202000000000782.pdf,¿Cuál es el monto total solicitado para el servicio de laboratorio de caracterización de suelo de 17 muestras según el informe N° 00291-2020-INAIGEM/GG-OADM-LOG?,Especifica
202000000000782.pdf,¿Qué número de informe se menciona como referencia en el documento emitido en Huaraz el 26 de julio del 2020?,Especifica
202000000000788.pdf,¿Cuál es el monto total ofertado por BIODIAGNOSTICA FUNDACIONES EL DESARROLLO HUMANO en el cuadro comparativo de cotizaciones?,Especifica
202000000000812.pdf,¿Cuál fue el monto total pagado por la entrega según el formato de conformidad de bienes con fecha 29/07/2020?,Especifica
202000000000813.pdf,¿Cuál es el monto total en soles que figura en la nota de ingreso almacén para la computadora de escritorio?,Especifica
202000000000814.pdf,¿Cuál es el monto total en soles que figura en la nota de ingreso almacén para la computadora de escritorio?,Especifica
202000000000831.pdf,¿Cuál fue el monto total contratado para la licencia de nube del módulo de gestión documental según el formato de conformidad?,Especifica
202000000000832.pdf,¿Cuál es el monto total en soles indicado en la nota de ingreso almacén N° C000022?,Especifica
20200000000084.pdf,¿Cuál es el monto total en soles indicado en la Certificación Presupuestal - CCP N° 330-2020 para la contratación de servicios de laboratorio?,Especifica
20200000000084.pdf,¿Qué número de informe se menciona como referencia en el documento de certificación presupuestal?,Especifica
2020000000008410.pdf,¿Cuál es el monto total estimado de la contratación según el cuadro comparativo de cotizaciones?,Especifica
202000000000842.pdf,¿Cuál es el monto total solicitado para la contratación de servicios de laboratorio para la digestión ácida y decoloración de muestras según el informe N° 00292-2020-INAIGEM-GG-OADM-LOG?,Especifica
202000000000843.pdf,¿Cuál es el número de informe de referencia mencionado en el documento del INAIGEM?,Especifica
202000000000851.pdf,¿Cuál es el monto total en soles especificado en el punto 4.7 del documento para la entrega de los monitores?,Especifica
202000000000931.pdf,"¿Cuál es el monto total asignado para el mantenimiento de cauces, drenajes y estructuras de seguridad física frente a peligros según la certificación presupuestaria N° 000000332?",Especifica
202000000000931.pdf,¿En qué fecha fue emitida la certificación de crédito presupuestario para el INAIGEM en la sección ambiental?,Especifica
202000000000932.pdf,¿Cuál es el monto total solicitado para el servicio de recopilación de información y cartografiado geológico según el informe N° 0295-2020-INAIGEM-GG-OADM-LOG?,Especifica
20200000000097.pdf,¿Cuál es el monto total a pagar por el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari según el documento?,Especifica
202000000001041.pdf,¿Cuál es el monto total de la certificación presupuestal N°167-2020 que se solicita anular?,Especifica
202000000001042.pdf,¿Cuál es el número de informe mencionado en la referencia del memorándum 0125-2020-INAIGEM/DIEM?,Especifica
202000000001043.pdf,¿Cuál es el monto total solicitado para la adquisición de equipos computacionales y periféricos según el informe N° 005-2020-INAIGEM/PE-DIEM?,Especifica
202000000001051.pdf,¿Cuál fue el monto total contratado según el formato de conformidad de bienes para la orden de compra N°C000032?,Especifica
202000000001101.pdf,¿Cuál es el monto total a rebajar en soles según el memorando N° 091-2020-INAIGEM-PE-DIGC?,Especifica
202000000001102.pdf,¿Cuál es el monto total asignado para subvenciones financieras en la meta 0068 300737 según el documento presupuestario?,Especifica
20200000000113.pdf,¿Cuál es el número de oficio múltiple emitido por la DDC ANC/MC el 29 de julio de 2020?,Especifica
20200000000118.pdf,¿Cuál es el número de informe mencionado en la referencia del documento dirigido a Victor Angel Saavedra Espinoza?,Especifica
20200000000135.pdf,¿Qué número de informe se menciona en la referencia c) del documento?,Especifica
20200000000137.pdf,¿Cuál es el monto total estimado para la contratación del servicio de análisis de metales en muestras de Nostoc sp. y agua según el documento?,Especifica
20200000000137.pdf,¿Qué número de informe se menciona como referencia en el documento fechado el 01 de agosto de 2020?,Especifica
202000000001471.pdf,¿Cuál es el número de Código de Cuenta Interbancario (CCI) mencionado en la carta de autorización del 02 de agosto de 2020?,Especifica
202000000001543.pdf,¿Cuál es el número de Código de Cuenta Interbancario (CCI) mencionado en la carta de autorización?,Especifica
202000000001543.pdf,¿En qué fecha fue emitida la carta de autorización en Huaraz?,Especifica
202000000001546.pdf,¿Cuál es el número de informe que se presenta a Roque Vargas Huaman de la Oficina Desconcentrada Macro Región Centro?,Especifica
202000000001548.pdf,"¿Cuál es el monto total a pagar por los servicios de limpieza, resguardo y vigilancia según la orden de servicio N°S000103?",Especifica
202000000001548.pdf,"¿Cuál es el monto total en soles que figura en la orden de servicio para los servicios de limpieza, resguardo y vigilancia?",Especifica
202000000001549.pdf,¿Cuál es el monto total por honorarios indicado en el recibo electrónico E001-43?,Especifica
202000000001571.pdf,¿Cuál es el monto total en soles aprobado para gastos de contratación de servicios según la específica 2.6.7.1.6.3?,Especifica
202000000001572.pdf,¿Cuál es el número de informe de referencia mencionado en el documento relacionado con ANTÁRTICA?,Especifica
202000000001573.pdf,¿Cuál es el monto total de viáticos solicitados para los tres investigadores según el informe N° 011-2020-INAIGEM/PMTO-ANTARTICA?,Especifica
202000000001574.pdf,¿Cuál fue el monto total en soles por concepto de viáticos según la planilla de gastos de la comisión de servicios?,Especifica
202000000001575.pdf,¿Cuál es el monto total en soles asignado para viáticos según la planilla de gastos de la comisión de servicios?,Especifica
202000000001576.pdf,¿Cuál fue el monto total en soles asignado para viáticos en la comisión de servicios del 29 de julio al 1 de agosto de 2020?,Especifica
20200000000158.pdf,¿Cuál es el monto total a pagar por el servicio de arrendamiento del inmueble para la Oficina Desconcentrada Macro Región Sur del INAIGEM en Cusco para el mes de agosto?,Especifica
20200000000161.pdf,¿Cuál es el monto total a pagar por el servicio de arrendamiento del inmueble para la Oficina Desconcentrada Macro Región Sur del INAIGEM en agosto?,Especifica
202000000001641.pdf,¿Cuál es el monto total de la certificación presupuestaria con nota N° 000000070 del INAIGEM?,Especifica
202000000001643.pdf,¿Cuál es el monto total en soles que será destinado para los contratos administrativos de servicios según el informe N°043-2020-INAIGEM/DIG-GLOP/P/CPFG?,Especifica
20200000000170.pdf,¿Cuál es el monto total a pagar por el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari según el documento?,Especifica
202000000001864.pdf,¿Cuál es el monto total de la propuesta económica presentada en la carta N° 010-2020-DCATC?,Especifica
